age,usage_gb,complaints,tenure_months,plan_type,churn
29.0,17.8,2,32,Prepaid,0
58.0,11.2,3,31,Postpaid,0
47.0,12.7,1,7,Prepaid,0
57.0,0.0,1,59,Prepaid,0
57.0,9.6,3,42,Postpaid,0
45.0,14.0,1,15,Prepaid,0
31.0,14.8,4,58,Prepaid,0
45.0,17.8,2,18,Prepaid,1
60.0,10.7,5,8,Prepaid,0
68.0,11.0,1,53,Prepaid,0
66.0,4.0,5,10,Postpaid,0
27.0,10.8,2,4,Prepaid,0
49.0,4.4,0,38,Postpaid,0
23.0,0.9,4,16,Prepaid,1
52.0,5.5,1,9,Prepaid,0
69.0,21.1,0,7,Prepaid,0
20.0,10.4,3,8,Prepaid,0
52.0,13.3,4,57,Postpaid,0
67.0,8.9,1,40,Postpaid,0
62.0,1.3,3,50,Prepaid,1
38.0,17.6,0,37,Prepaid,0
23.0,0.0,1,33,Postpaid,0
66.0,8.7,4,13,Prepaid,0
65.0,11.7,0,58,Prepaid,0
48.0,13.4,2,49,Prepaid,0
68.0,7.6,3,32,Postpaid,0
18.0,1.0,0,7,Prepaid,0
50.0,7.2,5,45,Postpaid,0
20.0,7.5,3,20,Prepaid,0
66.0,7.4,2,13,Prepaid,0
53.0,17.8,5,44,Postpaid,0
65.0,4.7,3,50,Prepaid,0
47.0,13.8,4,37,Prepaid,0
22.0,12.9,0,5,Prepaid,0
19.0,17.8,0,36,Postpaid,0
35.0,11.2,0,55,Prepaid,0
56.0,16.7,3,41,Prepaid,0
25.0,11.0,5,16,Prepaid,1
62.0,14.6,5,39,Prepaid,0
30.0,3.0,3,15,Prepaid,0
43.0,0.0,0,52,Prepaid,0
28.0,14.3,3,50,Prepaid,0
42.0,14.6,3,34,Prepaid,1
41.0,14.9,3,8,Postpaid,0
18.0,8.9,4,24,Postpaid,0
47.0,20.9,3,8,Postpaid,1
58.0,9.2,4,46,Prepaid,0
66.0,14.5,2,41,Prepaid,0
35.0,15.6,0,16,Postpaid,0
63.0,22.3,0,51,Prepaid,0
63.0,10.1,5,45,Postpaid,0
69.0,8.1,2,56,Prepaid,0
37.0,3.0,1,17,Prepaid,0
62.0,21.3,1,11,Postpaid,0
47.0,14.5,0,29,Prepaid,0
21.0,14.7,5,16,Prepaid,0
32.0,30.7,0,44,Postpaid,0
52.0,14.0,1,26,Prepaid,0
26.0,4.2,2,38,Prepaid,1
40.0,10.8,2,11,Prepaid,1
58.0,6.2,0,6,Prepaid,0
25.0,9.6,1,56,Prepaid,0
43.0,9.6,4,27,Postpaid,1
29.0,8.5,1,9,Postpaid,0
45.0,3.6,5,48,Prepaid,0
30.0,21.6,2,8,Postpaid,0
68.0,13.8,0,59,Postpaid,0
21.0,10.6,0,23,Prepaid,1
68.0,16.5,4,28,Prepaid,0
59.0,14.8,2,16,Prepaid,0
62.0,13.7,5,6,Prepaid,1
62.0,16.1,4,25,Postpaid,0
27.0,12.8,0,22,Postpaid,0
66.0,16.0,1,27,Postpaid,0
48.0,16.5,4,29,Prepaid,1
68.0,13.0,0,38,Prepaid,0
63.0,10.7,5,5,Prepaid,1
48.0,21.2,0,22,Prepaid,0
37.0,9.1,4,51,Prepaid,0
24.0,14.3,5,57,Prepaid,0
23.0,14.5,3,32,Postpaid,0
38.0,8.3,4,22,Prepaid,0
60.0,7.2,5,25,Prepaid,1
44.0,9.9,4,47,Prepaid,1
43.0,9.0,4,24,Postpaid,0
30.0,3.3,2,56,Prepaid,0
47.0,8.1,1,2,Prepaid,0
51.0,13.6,5,36,Prepaid,1
69.0,19.6,1,31,Prepaid,0
55.0,15.3,2,27,Prepaid,0
49.0,0.0,3,29,Postpaid,0
65.0,15.8,2,10,Prepaid,0
40.0,8.7,2,21,Prepaid,1
66.0,14.7,3,21,Prepaid,0
37.0,11.9,1,39,Prepaid,0
24.0,10.8,5,36,Postpaid,0
39.0,11.4,1,25,Postpaid,0
24.0,11.9,2,31,Prepaid,0
24.0,20.1,5,34,Prepaid,0
63.0,11.9,2,3,Prepaid,0
59.0,18.5,4,53,Prepaid,0
29.0,17.6,3,53,Prepaid,0
61.0,16.0,1,22,Postpaid,0
21.0,1.3,4,45,Postpaid,0
32.0,18.7,1,24,Prepaid,0
54.0,9.3,4,4,Postpaid,0
33.0,16.3,0,52,Prepaid,0
55.0,6.2,4,16,Prepaid,0
63.0,4.9,0,22,Prepaid,0
21.0,23.9,5,34,Prepaid,0
19.0,6.3,3,26,Prepaid,0
66.0,18.9,0,16,Postpaid,0
45.0,12.7,0,48,Prepaid,0
44.0,9.5,1,22,Prepaid,0
42.0,11.7,5,35,Prepaid,0
40.0,4.2,3,40,Prepaid,1
53.0,11.9,1,56,Prepaid,0
48.0,5.5,1,29,Prepaid,1
26.0,9.6,0,28,Prepaid,0
50.0,17.6,1,54,Prepaid,1
52.0,13.5,5,29,Prepaid,0
23.0,3.1,3,18,Postpaid,0
37.0,17.1,2,3,Postpaid,0
59.0,12.0,0,20,Prepaid,0
50.0,8.7,2,12,Postpaid,0
25.0,16.5,2,18,Postpaid,0
20.0,11.0,0,32,Prepaid,0
48.0,5.0,3,31,Postpaid,0
42.0,23.1,3,12,Prepaid,0
67.0,11.9,5,28,Postpaid,1
45.0,11.5,2,27,Prepaid,0
66.0,9.6,1,3,Prepaid,0
29.0,19.1,4,17,Postpaid,0
41.0,8.9,2,43,Postpaid,0
25.0,2.7,3,2,Prepaid,1
47.0,7.9,4,18,Postpaid,0
27.0,20.0,5,29,Postpaid,0
43.0,17.0,1,10,Postpaid,0
35.0,10.5,3,39,Postpaid,0
27.0,20.2,0,43,Postpaid,0
23.0,16.5,4,20,Prepaid,0
44.0,10.4,0,14,Postpaid,0
67.0,11.0,4,46,Prepaid,0
28.0,14.0,1,13,Postpaid,0
39.0,7.0,2,9,Postpaid,0
29.0,12.0,0,2,Postpaid,0
60.0,13.9,4,6,Prepaid,1
39.0,1.9,2,52,Prepaid,0
68.0,10.9,3,56,Prepaid,0
30.0,10.2,2,33,Prepaid,0
22.0,18.2,0,55,Postpaid,0
48.0,0.9,3,42,Postpaid,0
51.0,9.7,4,24,Postpaid,0
69.0,9.1,3,43,Prepaid,0
63.0,17.8,1,25,Postpaid,0
63.0,11.7,4,57,Postpaid,0
50.0,22.8,3,51,Postpaid,0
36.0,16.0,1,50,Prepaid,0
40.0,9.5,0,32,Postpaid,0
24.0,13.4,1,31,Prepaid,0
40.0,9.9,0,7,Prepaid,0
36.0,17.2,4,39,Postpaid,0
19.0,4.0,0,7,Postpaid,0
28.0,7.1,0,32,Prepaid,0
45.0,14.7,0,8,Postpaid,0
37.0,19.4,1,29,Postpaid,0
69.0,0.0,0,47,Prepaid,0
42.0,20.2,3,19,Prepaid,0
67.0,11.2,0,36,Prepaid,0
52.0,0.7,4,16,Postpaid,0
20.0,0.0,3,18,Postpaid,0
28.0,2.8,0,11,Prepaid,0
54.0,11.9,2,10,Prepaid,0
46.0,11.6,0,22,Prepaid,1
33.0,15.8,5,8,Prepaid,0
45.0,8.7,3,53,Postpaid,0
64.0,5.4,4,44,Prepaid,0
38.0,9.5,2,14,Prepaid,0
20.0,12.2,0,53,Prepaid,0
34.0,13.4,1,22,Postpaid,0
66.0,7.3,2,32,Prepaid,0
57.0,17.4,4,42,Prepaid,0
61.0,8.3,2,46,Prepaid,0
65.0,6.8,5,1,Postpaid,0
24.0,8.7,2,17,Prepaid,0
32.0,18.4,1,20,Prepaid,0
21.0,11.2,2,35,Prepaid,0
18.0,7.8,0,52,Prepaid,0
61.0,17.6,4,26,Postpaid,0
66.0,24.9,0,28,Postpaid,0
26.0,13.3,3,6,Prepaid,0
55.0,19.4,2,32,Postpaid,1
45.0,18.2,2,29,Postpaid,0
21.0,8.4,3,38,Prepaid,0
65.0,12.2,4,50,Prepaid,0
63.0,4.3,5,34,Postpaid,0
47.0,10.8,1,4,Postpaid,0
54.0,8.2,4,49,Prepaid,0
38.0,9.6,5,29,Prepaid,1
59.0,7.5,5,29,Postpaid,1
41.0,10.3,5,52,Prepaid,0
69.0,15.2,4,35,Prepaid,0
21.0,11.3,1,47,Prepaid,0
26.0,0.8,4,52,Postpaid,0
68.0,7.5,4,30,Postpaid,0
33.0,2.9,1,58,Prepaid,0
34.0,13.5,4,11,Prepaid,0
59.0,15.0,4,52,Prepaid,0
27.0,13.5,2,51,Postpaid,0
44.0,7.3,5,6,Prepaid,0
32.0,13.5,0,10,Prepaid,0
28.0,9.2,4,3,Prepaid,0
68.0,5.2,4,17,Prepaid,1
28.0,16.5,0,59,Prepaid,0
22.0,16.9,2,8,Postpaid,0
53.0,17.7,3,2,Postpaid,0
63.0,8.3,1,28,Prepaid,0
24.0,19.1,5,21,Postpaid,0
54.0,9.0,3,38,Postpaid,0
46.0,15.9,1,36,Postpaid,0
61.0,8.9,2,49,Postpaid,0
24.0,10.7,0,25,Postpaid,0
68.0,0.0,0,28,Prepaid,0
50.0,10.2,4,2,Prepaid,0
61.0,12.5,5,58,Prepaid,0
36.0,9.5,1,13,Prepaid,0
67.0,22.5,1,36,Postpaid,0
50.0,5.0,4,52,Prepaid,0
24.0,8.6,3,36,Postpaid,0
65.0,6.6,0,37,Postpaid,0
59.0,8.6,4,11,Prepaid,0
33.0,18.2,1,42,Postpaid,0
46.0,20.9,0,12,Postpaid,0
38.0,7.8,2,41,Prepaid,0
46.0,7.7,4,35,Postpaid,0
68.0,5.1,3,29,Prepaid,0
64.0,19.8,3,43,Prepaid,0
29.0,18.7,1,43,Prepaid,0
68.0,11.4,2,13,Prepaid,0
40.0,3.6,4,23,Prepaid,0
54.0,4.2,3,29,Postpaid,1
57.0,13.0,1,9,Postpaid,0
43.0,15.3,5,22,Prepaid,0
41.0,0.0,0,3,Prepaid,0
41.0,10.1,5,26,Prepaid,0
62.0,21.7,4,13,Prepaid,1
38.0,10.7,0,14,Prepaid,0
32.0,20.9,1,49,Prepaid,0
36.0,15.9,2,9,Postpaid,0
28.0,5.5,5,8,Postpaid,0
38.0,10.2,3,19,Prepaid,0
23.0,11.2,1,2,Postpaid,0
22.0,6.3,5,52,Postpaid,0
55.0,6.2,0,59,Prepaid,0
22.0,21.0,4,48,Prepaid,0
47.0,6.1,4,48,Prepaid,0
58.0,18.5,2,6,Prepaid,1
55.0,9.4,0,33,Prepaid,0
41.0,11.8,5,6,Prepaid,0
28.0,15.4,5,18,Prepaid,0
66.0,8.4,2,30,Prepaid,0
61.0,15.4,1,41,Prepaid,0
49.0,0.0,1,17,Prepaid,0
22.0,14.6,0,16,Prepaid,0
19.0,0.0,3,49,Prepaid,0
34.0,10.6,3,14,Prepaid,1
26.0,17.1,2,29,Prepaid,0
62.0,15.7,3,17,Postpaid,0
28.0,4.2,3,51,Prepaid,0
32.0,5.0,0,32,Postpaid,0
68.0,7.9,2,7,Postpaid,0
60.0,13.1,5,9,Prepaid,1
29.0,0.0,4,58,Prepaid,0
37.0,11.9,5,56,Postpaid,0
44.0,13.9,5,46,Prepaid,0
52.0,,0,5,Postpaid,0
66.0,15.2,1,44,Postpaid,0
63.0,13.3,2,39,Prepaid,0
68.0,8.8,3,56,Prepaid,0
20.0,0.4,4,29,Postpaid,0
30.0,12.8,4,28,Prepaid,0
47.0,6.3,4,38,Prepaid,1
20.0,8.5,0,9,Postpaid,0
36.0,14.9,4,44,Prepaid,0
25.0,20.5,4,30,Postpaid,0
66.0,11.8,4,12,Postpaid,0
21.0,15.3,3,49,Prepaid,0
25.0,3.3,0,16,Prepaid,0
28.0,13.5,0,51,Prepaid,0
25.0,11.6,4,17,Postpaid,1
47.0,19.4,5,29,Prepaid,0
36.0,8.8,4,26,Prepaid,0
65.0,10.6,2,44,Postpaid,0
31.0,18.4,3,11,Prepaid,0
45.0,11.4,1,15,Prepaid,1
52.0,5.3,3,12,Postpaid,0
50.0,27.3,1,14,Prepaid,0
59.0,5.5,4,27,Prepaid,0
28.0,11.6,4,35,Prepaid,0
44.0,14.1,0,51,Prepaid,0
59.0,13.6,5,25,Prepaid,0
62.0,10.9,4,25,Prepaid,0
50.0,10.9,2,10,Postpaid,0
51.0,10.6,2,6,Prepaid,0
62.0,5.3,0,45,Prepaid,0
50.0,24.9,5,38,Postpaid,0
67.0,10.7,0,32,Prepaid,0
24.0,15.6,5,27,Postpaid,0
36.0,10.0,3,31,Prepaid,0
23.0,9.9,5,50,Prepaid,0
22.0,9.3,2,12,Prepaid,0
42.0,2.7,5,30,Prepaid,0
29.0,11.0,2,15,Postpaid,0
39.0,9.6,2,7,Postpaid,0
40.0,19.0,2,41,Prepaid,0
50.0,4.8,5,42,Prepaid,0
67.0,8.5,2,51,Prepaid,0
62.0,6.6,2,2,Prepaid,0
37.0,20.7,3,11,Prepaid,0
34.0,6.8,3,34,Prepaid,1
58.0,15.4,3,48,Prepaid,0
24.0,17.8,2,56,Prepaid,0
46.0,11.1,0,47,Postpaid,0
39.0,3.7,5,54,Prepaid,0
27.0,3.8,2,49,Prepaid,0
50.0,17.2,5,19,Prepaid,1
34.0,4.4,2,35,Postpaid,0
27.0,14.4,3,38,Postpaid,0
51.0,12.7,3,21,Prepaid,0
27.0,14.3,5,53,Postpaid,1
52.0,14.8,0,46,Postpaid,0
26.0,6.4,3,31,Prepaid,0
40.0,6.1,0,29,Prepaid,0
60.0,16.3,5,47,Postpaid,0
29.0,8.2,3,14,Prepaid,0
57.0,0.0,5,13,Prepaid,1
55.0,15.9,1,24,Prepaid,0
64.0,5.8,0,8,Prepaid,0
26.0,14.8,3,28,Postpaid,1
55.0,20.4,0,26,Postpaid,0
66.0,12.1,2,30,Postpaid,0
57.0,18.0,1,28,Postpaid,0
27.0,12.9,1,53,Postpaid,0
60.0,21.5,0,17,Prepaid,0
23.0,5.6,3,25,Postpaid,0
48.0,12.0,4,44,Prepaid,0
43.0,16.0,2,17,Prepaid,0
45.0,10.9,1,39,Postpaid,0
45.0,18.9,0,57,Postpaid,0
19.0,9.4,4,23,Prepaid,0
44.0,24.4,4,15,Prepaid,0
66.0,24.7,3,12,Prepaid,0
40.0,13.7,2,1,Postpaid,1
32.0,15.3,3,17,Prepaid,0
69.0,19.2,5,51,Prepaid,0
23.0,4.9,5,16,Prepaid,1
43.0,4.1,1,57,Postpaid,0
44.0,19.5,2,57,Postpaid,0
42.0,13.6,5,41,Postpaid,0
65.0,10.6,3,58,Postpaid,0
39.0,12.1,4,25,Prepaid,1
68.0,0.0,5,57,Prepaid,0
21.0,10.9,0,33,Prepaid,0
56.0,7.5,3,5,Prepaid,0
48.0,17.5,3,50,Postpaid,0
30.0,18.0,1,57,Prepaid,0
29.0,15.5,3,53,Postpaid,0
55.0,14.4,0,25,Prepaid,0
51.0,3.0,2,7,Prepaid,0
49.0,15.5,2,35,Postpaid,0
20.0,15.8,2,52,Prepaid,0
49.0,19.5,3,50,Prepaid,0
69.0,24.7,5,37,Postpaid,0
18.0,1.8,5,47,Prepaid,0
42.0,9.7,4,2,Prepaid,0
43.0,7.5,1,37,Prepaid,0
64.0,13.0,5,7,Postpaid,0
32.0,12.1,5,45,Prepaid,0
42.0,10.6,5,3,Prepaid,0
55.0,18.2,5,36,Prepaid,0
21.0,5.4,4,56,Prepaid,1
59.0,5.8,4,7,Postpaid,0
60.0,5.9,4,26,Prepaid,0
55.0,9.8,3,3,Postpaid,0
51.0,4.6,3,43,Postpaid,0
56.0,11.7,2,55,Prepaid,0
58.0,11.0,5,1,Postpaid,0
64.0,7.3,3,33,Postpaid,0
40.0,17.2,3,47,Postpaid,0
41.0,11.6,4,2,Postpaid,0
51.0,18.4,0,29,Prepaid,0
28.0,10.8,5,8,Prepaid,1
62.0,11.9,3,55,Prepaid,0
58.0,8.6,5,31,Postpaid,1
50.0,12.0,0,31,Prepaid,0
33.0,16.3,1,59,Postpaid,0
36.0,9.5,5,47,Postpaid,0
40.0,15.1,4,19,Prepaid,0
52.0,7.1,3,38,Postpaid,0
58.0,16.6,2,18,Prepaid,1
52.0,8.5,3,31,Prepaid,0
66.0,17.1,3,48,Postpaid,0
67.0,12.4,1,56,Prepaid,0
54.0,21.1,3,57,Prepaid,0
37.0,5.1,3,30,Postpaid,0
49.0,3.1,1,53,Postpaid,0
40.0,8.3,2,53,Postpaid,0
50.0,3.7,4,33,Prepaid,0
60.0,3.7,4,3,Prepaid,1
37.0,15.7,2,8,Prepaid,0
44.0,12.0,3,39,Prepaid,0
20.0,9.1,1,49,Postpaid,0
56.0,9.7,2,54,Prepaid,0
43.0,8.4,3,15,Postpaid,1
41.0,21.9,1,54,Prepaid,0
45.0,7.6,1,49,Prepaid,1
29.0,4.1,3,29,Prepaid,0
49.0,16.8,5,23,Prepaid,1
56.0,10.7,2,28,Prepaid,0
36.0,24.2,5,40,Postpaid,0
24.0,8.8,5,48,Postpaid,0
38.0,17.1,4,11,Postpaid,0
28.0,18.5,5,20,Prepaid,0
37.0,8.9,2,8,Postpaid,0
50.0,7.5,4,56,Postpaid,0
23.0,16.4,0,25,Prepaid,0
56.0,15.4,1,15,Postpaid,0
29.0,3.5,3,12,Postpaid,1
64.0,5.2,0,5,Postpaid,0
56.0,0.0,4,28,Postpaid,0
32.0,15.6,5,46,Prepaid,0
47.0,10.4,0,20,Prepaid,1
23.0,11.0,5,24,Prepaid,0
23.0,1.9,0,38,Prepaid,0
67.0,5.4,0,21,Prepaid,0
59.0,9.1,4,44,Prepaid,0
26.0,8.0,4,19,Postpaid,1
32.0,12.7,5,27,Prepaid,0
28.0,15.5,2,58,Postpaid,0
38.0,25.6,3,50,Postpaid,0
33.0,11.9,0,34,Prepaid,0
35.0,18.7,4,24,Prepaid,0
45.0,7.0,5,59,Postpaid,0
27.0,2.0,3,28,Prepaid,0
63.0,9.9,5,21,Prepaid,1
55.0,2.4,2,36,Postpaid,0
57.0,12.1,5,25,Prepaid,0
26.0,7.3,3,53,Prepaid,0
54.0,0.3,0,13,Postpaid,0
61.0,22.4,2,3,Prepaid,0
27.0,8.8,2,26,Prepaid,0
57.0,2.2,0,56,Prepaid,0
36.0,17.4,5,4,Prepaid,1
58.0,7.6,1,48,Prepaid,1
42.0,18.5,4,1,Prepaid,0
59.0,7.6,5,33,Prepaid,0
25.0,8.8,2,27,Postpaid,0
38.0,14.1,3,10,Postpaid,0
32.0,15.6,3,45,Prepaid,0
30.0,16.6,4,11,Postpaid,0
34.0,11.5,0,26,Prepaid,0
37.0,15.2,2,33,Postpaid,0
24.0,16.5,3,31,Prepaid,0
54.0,13.2,0,2,Postpaid,0
46.0,11.1,5,27,Postpaid,0
61.0,3.3,3,39,Prepaid,0
54.0,15.6,0,32,Prepaid,0
25.0,12.3,0,44,Prepaid,0
21.0,9.5,0,46,Prepaid,0
39.0,19.7,3,11,Prepaid,0
43.0,3.4,3,48,Postpaid,0
30.0,21.9,2,53,Prepaid,0
58.0,11.9,3,50,Prepaid,1
48.0,13.9,2,51,Postpaid,0
56.0,9.6,2,13,Postpaid,0
23.0,2.0,0,39,Prepaid,0
60.0,11.2,0,28,Postpaid,0
28.0,14.0,4,59,Postpaid,0
41.0,16.1,4,50,Postpaid,1
40.0,10.8,1,10,Prepaid,0
60.0,0.0,1,56,Prepaid,0
32.0,2.8,2,42,Prepaid,0
30.0,24.3,3,33,Postpaid,0
35.0,5.4,3,27,Postpaid,0
36.0,20.6,3,30,Postpaid,0
27.0,6.4,0,46,Prepaid,0
27.0,10.9,2,46,Prepaid,0
30.0,15.8,4,33,Postpaid,0
42.0,7.1,3,59,Prepaid,0
35.0,21.6,4,14,Prepaid,0
38.0,12.5,4,26,Postpaid,0
55.0,14.8,5,36,Postpaid,0
30.0,10.4,3,10,Prepaid,0
65.0,16.0,3,30,Postpaid,0
57.0,21.5,3,50,Prepaid,0
27.0,11.2,1,40,Prepaid,0
34.0,22.4,2,42,Prepaid,0
27.0,8.3,1,10,Prepaid,0
32.0,16.6,2,9,Prepaid,0
37.0,14.9,0,27,Prepaid,0
24.0,5.6,2,20,Prepaid,0
18.0,13.3,5,1,Prepaid,1
40.0,12.0,2,33,Prepaid,0
54.0,6.9,4,45,Postpaid,0
33.0,14.1,2,44,Prepaid,0
62.0,12.9,5,7,Prepaid,0
37.0,11.6,1,47,Prepaid,1
64.0,11.6,5,23,Prepaid,0
30.0,11.5,4,10,Postpaid,1
46.0,9.8,5,28,Postpaid,1
57.0,12.8,0,13,Prepaid,0
21.0,8.1,5,40,Prepaid,0
66.0,27.9,5,44,Prepaid,0
36.0,3.5,1,43,Prepaid,0
43.0,8.5,3,7,Postpaid,1
50.0,9.0,3,21,Prepaid,0
51.0,24.2,0,30,Postpaid,0
19.0,4.1,3,59,Postpaid,0
63.0,14.6,3,33,Prepaid,0
50.0,13.5,1,39,Prepaid,0
69.0,14.0,2,21,Postpaid,0
42.0,19.4,3,18,Postpaid,0
49.0,19.3,5,47,Prepaid,0
40.0,9.3,0,50,Postpaid,0
64.0,13.2,5,4,Prepaid,1
61.0,0.8,4,32,Prepaid,0
65.0,12.6,5,46,Postpaid,0
44.0,7.2,0,10,Prepaid,0
59.0,10.9,3,39,Prepaid,0
36.0,1.9,2,28,Prepaid,0
41.0,14.4,5,30,Postpaid,0
57.0,1.8,4,36,Postpaid,0
22.0,12.9,3,52,Postpaid,0
54.0,4.6,0,6,Postpaid,0
18.0,6.9,5,12,Prepaid,1
48.0,18.9,2,21,Prepaid,0
42.0,15.5,0,48,Prepaid,0
42.0,18.9,5,35,Prepaid,0
43.0,21.4,5,12,Postpaid,0
43.0,7.4,2,2,Prepaid,0
39.0,21.0,3,59,Postpaid,0
41.0,3.2,3,9,Prepaid,0
47.0,16.5,1,2,Postpaid,0
57.0,9.0,4,24,Prepaid,1
46.0,6.4,5,33,Postpaid,0
51.0,15.7,5,16,Prepaid,0
61.0,17.7,4,10,Prepaid,0
69.0,17.5,2,6,Postpaid,0
23.0,13.3,5,25,Postpaid,0
55.0,12.8,5,57,Prepaid,0
29.0,15.2,0,9,Postpaid,0
28.0,13.8,2,34,Prepaid,0
59.0,15.2,3,12,Postpaid,0
21.0,13.2,3,40,Prepaid,0
62.0,17.1,4,4,Postpaid,0
58.0,2.2,3,12,Prepaid,0
69.0,11.2,0,1,Postpaid,0
52.0,3.7,0,39,Postpaid,0
63.0,13.7,4,43,Postpaid,0
24.0,21.9,4,11,Postpaid,0
64.0,9.2,3,27,Postpaid,0
26.0,12.8,2,18,Prepaid,0
34.0,16.5,1,3,Prepaid,0
24.0,0.0,1,3,Prepaid,0
38.0,8.9,4,56,Prepaid,1
56.0,14.2,3,39,Prepaid,0
31.0,0.0,0,40,Postpaid,0
60.0,6.1,2,18,Prepaid,0
49.0,18.6,4,16,Prepaid,0
50.0,18.0,3,47,Prepaid,1
66.0,14.2,5,26,Postpaid,0
40.0,17.3,3,7,Prepaid,0
35.0,13.3,2,29,Prepaid,0
69.0,15.3,5,31,Prepaid,0
46.0,10.1,3,34,Prepaid,0
49.0,12.7,0,32,Prepaid,1
33.0,8.2,2,51,Postpaid,0
29.0,19.6,3,15,Postpaid,0
26.0,21.1,2,35,Postpaid,0
29.0,20.3,2,53,Prepaid,0
28.0,9.6,5,58,Prepaid,1
56.0,6.3,2,57,Prepaid,0
21.0,19.7,1,43,Postpaid,0
50.0,15.3,0,7,Postpaid,0
67.0,14.0,2,59,Prepaid,0
57.0,8.2,4,2,Prepaid,0
38.0,14.6,1,33,Postpaid,0
21.0,5.5,2,27,Prepaid,0
61.0,15.8,3,41,Postpaid,0
18.0,20.3,5,47,Prepaid,0
53.0,21.8,4,44,Postpaid,1
52.0,16.3,1,14,Prepaid,0
27.0,3.7,0,45,Postpaid,0
56.0,13.2,4,45,Postpaid,0
27.0,24.8,1,2,Prepaid,0
29.0,6.8,2,38,Postpaid,0
60.0,11.6,0,8,Prepaid,0
68.0,20.5,4,34,Prepaid,0
31.0,15.7,0,14,Prepaid,0
65.0,26.9,2,22,Postpaid,0
65.0,7.6,2,17,Prepaid,0
58.0,6.1,0,51,Prepaid,0
25.0,19.3,4,54,Prepaid,0
33.0,4.8,3,48,Prepaid,0
53.0,10.8,3,43,Prepaid,1
69.0,11.6,1,22,Prepaid,0
60.0,18.2,0,9,Postpaid,0
39.0,15.7,0,34,Prepaid,0
30.0,14.7,3,26,Postpaid,0
67.0,9.6,4,17,Prepaid,1
32.0,19.3,4,15,Prepaid,0
35.0,36.2,4,10,Prepaid,0
68.0,16.1,2,49,Prepaid,0
47.0,12.6,0,19,Postpaid,0
31.0,4.2,1,55,Prepaid,0
18.0,8.2,4,40,Prepaid,1
40.0,10.7,4,10,Prepaid,1
69.0,8.8,3,4,Postpaid,0
40.0,11.9,0,25,Prepaid,0
54.0,22.7,4,5,Prepaid,0
31.0,19.5,4,57,Prepaid,0
58.0,11.0,1,54,Prepaid,0
58.0,4.8,4,39,Postpaid,0
49.0,20.0,3,18,Prepaid,0
58.0,11.7,5,52,Prepaid,0
48.0,1.6,3,39,Prepaid,0
37.0,16.3,0,22,Postpaid,0
56.0,18.2,3,52,Prepaid,0
61.0,0.0,0,13,Postpaid,0
61.0,7.1,1,34,Postpaid,0
29.0,11.3,5,41,Prepaid,0
53.0,16.4,5,54,Postpaid,0
18.0,8.9,2,9,Prepaid,1
47.0,7.0,1,17,Prepaid,0
47.0,16.4,2,50,Prepaid,0
36.0,9.2,1,30,Prepaid,1
69.0,15.3,3,45,Prepaid,0
63.0,5.3,2,46,Postpaid,0
20.0,3.9,0,18,Postpaid,0
28.0,16.5,3,20,Postpaid,0
28.0,13.5,3,30,Prepaid,0
64.0,17.5,4,2,Prepaid,0
44.0,8.8,5,48,Prepaid,0
55.0,7.2,4,7,Postpaid,0
60.0,20.2,4,56,Prepaid,0
57.0,2.9,1,46,Prepaid,0
22.0,19.5,2,21,Postpaid,0
25.0,19.9,2,5,Postpaid,0
38.0,17.2,5,47,Prepaid,0
35.0,7.9,2,27,Postpaid,0
56.0,7.1,4,12,Prepaid,1
26.0,10.7,3,26,Postpaid,0
37.0,4.2,0,54,Postpaid,0
30.0,6.2,5,41,Postpaid,0
27.0,15.9,4,41,Prepaid,0
26.0,15.9,1,31,Prepaid,0
28.0,5.7,0,10,Prepaid,0
47.0,16.1,5,57,Prepaid,0
39.0,14.7,1,44,Postpaid,0
40.0,21.1,0,31,Prepaid,0
42.0,15.4,3,43,Prepaid,0
56.0,18.4,0,22,Prepaid,0
62.0,14.9,1,44,Prepaid,0
45.0,17.9,5,58,Prepaid,0
51.0,4.3,0,21,Prepaid,0
56.0,11.3,4,1,Postpaid,0
53.0,11.8,3,44,Postpaid,0
24.0,10.5,1,51,Postpaid,1
69.0,14.7,1,49,Postpaid,0
26.0,15.8,2,58,Prepaid,0
39.0,14.4,3,21,Postpaid,0
51.0,10.9,5,55,Prepaid,0
38.0,7.6,1,13,Prepaid,0
30.0,18.6,3,35,Prepaid,0
66.0,14.1,4,53,Prepaid,0
21.0,5.9,0,55,Postpaid,0
30.0,10.8,5,37,Prepaid,1
69.0,1.5,5,33,Prepaid,0
55.0,12.2,0,28,Prepaid,0
22.0,10.8,1,52,Prepaid,0
57.0,8.6,4,52,Postpaid,0
68.0,21.5,4,15,Prepaid,1
23.0,5.1,0,9,Prepaid,0
39.0,16.2,5,49,Postpaid,0
42.0,25.1,1,48,Postpaid,0
24.0,18.5,1,6,Prepaid,0
28.0,11.8,2,29,Prepaid,0
27.0,5.2,4,30,Postpaid,0
27.0,3.8,1,3,Prepaid,0
38.0,9.5,3,40,Prepaid,0
42.0,7.9,0,58,Prepaid,0
30.0,7.7,0,13,Prepaid,0
33.0,10.0,4,46,Postpaid,0
27.0,11.4,2,5,Postpaid,0
59.0,14.9,4,13,Prepaid,0
29.0,4.6,4,34,Postpaid,0
65.0,7.9,5,55,Postpaid,0
46.0,11.0,0,53,Prepaid,0
